id,name_zh,name_en,formal_en,type,sovereignty
印度尼西亚,印度尼西亞,Indonesia,Republic of Indonesia,Sovereign country,Indonesia
马来西亚,馬來西亞,Malaysia,Malaysia,Sovereign country,Malaysia
智利,智利,Chile,Republic of Chile,Sovereign country,Chile
玻利维亚,玻利維亞,Bolivia,Plurinational State of Bolivia,Sovereign country,Bolivia
秘鲁,秘魯,Peru,Republic of Peru,Sovereign country,Peru
阿根廷,阿根廷,Argentina,Argentine Republic,Sovereign country,Argentina
uk-out,uk-out,,,,
塞浦路斯,賽普勒斯,Cyprus,Republic of Cyprus,Sovereign country,Cyprus
印度,印度,India,Republic of India,Sovereign country,India
中华人民共和国,中華人民共和國,People's Republic of China,People's Republic of China,Country,China
以色列,以色列,Israel,State of Israel,Disputed,Israel
巴勒斯坦,巴勒斯坦地區,Palestine,West Bank and Gaza,Indeterminate,Israel
黎巴嫩,黎巴嫩,Lebanon,Lebanese Republic,Sovereign country,Lebanon
埃塞俄比亚,衣索比亞,Ethiopia,Federal Democratic Republic of Ethiopia,Sovereign country,Ethiopia
南苏丹,南蘇丹,South Sudan,Republic of South Sudan,Sovereign country,South Sudan
索马里,索馬利亞,Somalia,Federal Republic of Somalia,Sovereign country,Somalia
马拉维,馬拉威,Malawi,Republic of Malawi,Sovereign country,Malawi
坦桑尼亚,坦尚尼亞,Tanzania,United Republic of Tanzania,Sovereign country,United Republic of Tanzania
叙利亚,敘利亞,Syria,Syrian Arab Republic,Sovereign country,Syria
法国,法國,France,French Republic,Country,France
苏里南,蘇利南,Suriname,Republic of Suriname,Sovereign country,Suriname
圭亚那,圭亞那,Guyana,Co-operative Republic of Guyana,Sovereign country,Guyana
大韩民国,大韓民國,South Korea,Republic of Korea,Sovereign country,South Korea
朝鲜民主主义人民共和国,朝鮮民主主義人民共和國,North Korea,Democratic People's Republic of Korea,Sovereign country,North Korea
西撒哈拉,西撒哈拉,Western Sahara,Sahrawi Arab Democratic Republic,Indeterminate,Western Sahara
哥斯达黎加,哥斯大黎加,Costa Rica,Republic of Costa Rica,Sovereign country,Costa Rica
尼加拉瓜,尼加拉瓜,Nicaragua,Republic of Nicaragua,Sovereign country,Nicaragua
刚果共和国,剛果共和國,Republic of the Congo,Republic of the Congo,Sovereign country,Republic of the Congo
刚果民主共和国,剛果民主共和國,Democratic Republic of the Congo,Democratic Republic of the Congo,Sovereign country,Democratic Republic of the Congo
不丹,不丹,Bhutan,Kingdom of Bhutan,Sovereign country,Bhutan
乌克兰,烏克蘭,Ukraine,Ukraine,Sovereign country,Ukraine
白俄罗斯,白俄羅斯,Belarus,Republic of Belarus,Sovereign country,Belarus
纳米比亚,納米比亞,Namibia,Republic of Namibia,Sovereign country,Namibia
南非,南非,South Africa,Republic of South Africa,Sovereign country,South Africa
法属圣马丁,法属圣马丁,,,,
netherlands-out,netherlands-out,,,,
阿曼,阿曼,Oman,Sultanate of Oman,Sovereign country,Oman
乌兹别克斯坦,烏茲別克,Uzbekistan,Republic of Uzbekistan,Sovereign country,Uzbekistan
哈萨克斯坦,哈薩克,Kazakhstan,Republic of Kazakhstan,Sovereignty,Kazakhstan
塔吉克斯坦,塔吉克,Tajikistan,Republic of Tajikistan,Sovereign country,Tajikistan
立陶宛,立陶宛,Lithuania,Republic of Lithuania,Sovereign country,Lithuania
巴西,巴西,Brazil,Federative Republic of Brazil,Sovereign country,Brazil
乌拉圭,烏拉圭,Uruguay,Oriental Republic of Uruguay,Sovereign country,Uruguay
蒙古国,蒙古國,Mongolia,Mongolia,Sovereign country,Mongolia
俄罗斯,俄羅斯,Russia,Russian Federation,Sovereign country,Russia
捷克,捷克共和國,Czech Republic,Czech Republic,Sovereign country,Czechia
德国,德國,Germany,Federal Republic of Germany,Sovereign country,Germany
爱沙尼亚,愛沙尼亞,Estonia,Republic of Estonia,Sovereign country,Estonia
拉脱维亚,拉脫維亞,Latvia,Republic of Latvia,Sovereign country,Latvia
挪威,挪威,Norway,Kingdom of Norway,Sovereign country,Norway
瑞典,瑞典,Sweden,Kingdom of Sweden,Sovereign country,Sweden
芬兰,芬蘭,Finland,Republic of Finland,Country,Finland
越南,越南,Vietnam,Socialist Republic of Vietnam,Sovereign country,Vietnam
柬埔寨,柬埔寨,Cambodia,Kingdom of Cambodia,Sovereign country,Cambodia
卢森堡,盧森堡,Luxembourg,Grand Duchy of Luxembourg,Sovereign country,Luxembourg
阿拉伯联合酋长国,阿拉伯聯合大公國,United Arab Emirates,United Arab Emirates,Sovereign country,United Arab Emirates
比利时,比利時,Belgium,Kingdom of Belgium,Sovereign country,Belgium
格鲁吉亚,喬治亞,Georgia,Georgia,Sovereign country,Georgia
北马其顿,北馬其頓,North Macedonia,Republic of North Macedonia,Sovereign country,North Macedonia
阿尔巴尼亚,阿爾巴尼亞,Albania,Republic of Albania,Sovereign country,Albania
阿塞拜疆,亞塞拜然,Azerbaijan,Republic of Azerbaijan,Sovereign country,Azerbaijan
塞尔维亚,塞爾維亞,Serbia,Republic of Serbia,Sovereign country,Republic of Serbia
土耳其,土耳其,Turkey,Republic of Turkey,Sovereign country,Turkey
西班牙,西班牙,Spain,Kingdom of Spain,Sovereign country,Spain
摩洛哥,摩洛哥,Morocco,Kingdom of Morocco,Sovereign country,Morocco
老挝,寮國,Laos,Lao People's Democratic Republic,Sovereign country,Laos
吉尔吉斯斯坦,吉爾吉斯,Kyrgyzstan,Kyrgyz Republic,Sovereign country,Kyrgyzstan
亚美尼亚,亞美尼亞,Armenia,Republic of Armenia,Sovereign country,Armenia
丹麦,丹麥,Denmark,Kingdom of Denmark,Country,Denmark
利比亚,利比亞,Libya,Libya,Sovereign country,Libya
突尼斯,突尼西亞,Tunisia,Republic of Tunisia,Sovereign country,Tunisia
罗马尼亚,羅馬尼亞,Romania,Romania,Sovereign country,Romania
匈牙利,匈牙利,Hungary,Republic of Hungary,Sovereign country,Hungary
斯洛伐克,斯洛伐克,Slovakia,Slovak Republic,Sovereign country,Slovakia
波兰,波蘭,Poland,Republic of Poland,Sovereign country,Poland
爱尔兰,愛爾蘭,Ireland,Ireland,Sovereign country,Ireland
英国,英國,United Kingdom,United Kingdom of Great Britain and Northern Ireland,Country,United Kingdom
希腊,希臘,Greece,Hellenic Republic,Sovereign country,Greece
赞比亚,尚比亞,Zambia,Republic of Zambia,Sovereign country,Zambia
塞拉利昂,獅子山,Sierra Leone,Republic of Sierra Leone,Sovereign country,Sierra Leone
几内亚,幾內亞,Guinea,Republic of Guinea,Sovereign country,Guinea
利比里亚,賴比瑞亞,Liberia,Republic of Liberia,Sovereign country,Liberia
中非共和国,中非共和國,Central African Republic,Central African Republic,Sovereign country,Central African Republic
苏丹,蘇丹,Sudan,Republic of the Sudan,Sovereign country,Sudan
吉布提,吉布地,Djibouti,Republic of Djibouti,Sovereign country,Djibouti
厄立特里亚,厄利垂亞,Eritrea,State of Eritrea,Sovereign country,Eritrea
